nside,n_sys,n_pix,n_real,n_mean,sigma_clus,regime,cl_slope,kappa_per_template_median,kappa_per_template_max,kappa_field,fpr3_per_template,fpr3_any_template,sigma_emp_median,sigma_iid_median
32,3,5954,2000,127.0,0.0,shot-only,0.0,0.9796956975639248,1.018437820523448,0.9969596906198754,0.0026666666666666666,0.008,0.001385418277909357,0.0014156346939095015
32,5,5954,2000,127.0,0.0,shot-only,0.0,1.0103308750823892,1.0321363868730697,1.010460386327142,0.0028,0.0135,0.001324324825463879,0.0012914475935348994
32,7,5954,2000,127.0,0.0,shot-only,0.0,0.9960539302576095,1.017359275063788,0.9961700148811646,0.002857142857142857,0.018,0.0013512811132768312,0.0013308832063245546
32,9,5954,2000,127.0,0.0,shot-only,0.0,1.0013987263891562,1.016795001694411,0.9965662152012167,0.002111111111111111,0.018,0.0014799429820319262,0.0014614102821353936
32,11,5954,2000,127.0,0.0,shot-only,0.0,0.9970574087060406,1.0404185369320147,1.000369334369259,0.0026363636363636363,0.026,0.0019078298498798742,0.0019470961484533422
32,3,5954,2000,127.0,0.4,clustered,2.5,9.622701970006212,10.1990394579604,9.907929414444556,0.748,0.9835,0.06290420318475548,0.006462338405204975
32,5,5954,2000,127.0,0.4,clustered,2.5,7.993848431950657,10.254951987803379,8.855624911813155,0.6888,0.9985,0.044587118885441236,0.005871573363648448
32,7,5954,2000,127.0,0.4,clustered,2.5,8.200760144849015,11.956500219123662,8.901739915278089,0.6558571428571428,0.9995,0.04558446575213417,0.006007898977947019
32,9,5954,2000,127.0,0.4,clustered,2.5,5.033843071637492,12.091862226598975,8.042380745220392,0.5424444444444444,0.998,0.04388326148602811,0.006545063816960682
32,11,5954,2000,127.0,0.4,clustered,2.5,4.672853280628307,11.834094390309687,7.327799014929395,0.446,0.999,0.028742077350282526,0.008731002669717953
