nside,source,level,scenario,method,n_gal,n_rand,A_add,A_mult,A_tot,dA_add,dA_mult,dA_tot,A_over_dA,bias_contaminated,bias_recovered,improvement
32,uchuu,low,additive,OLS,358597,2450717,0.03492124879877386,0.0,0.03492124879877386,0.07389496189623553,0.0,0.07389496189623553,0.47257956297224746,0.011199095939376215,0.027556950904468257,0.40639822519552854
32,uchuu,low,additive,ISD-1,358597,2450717,0.03492124879877386,0.0,0.03492124879877386,0.07551578199536982,0.0,0.07551578199536982,0.46243643217407226,0.011199095939376215,0.027466415513865434,0.4077378037815948
32,uchuu,low,additive,ElasticNet,358597,2450717,0.03492124879877386,0.0,0.03492124879877386,0.022508174191700897,0.0,0.022508174191700897,1.5514918491989391,0.011199095939376215,0.023284412877309583,0.4809696511733657
32,uchuu,low,additive,MCMC-add,358597,2450717,0.03492124879877386,0.0,0.03492124879877386,0.07508766622067344,0.0,0.07508766622067344,0.4650730347131125,0.011199095939376215,0.029862370910536496,0.3750236701877137
32,uchuu,low,additive,MCMC-comb,358597,2450717,0.03492124879877386,0.0,0.03492124879877386,0.08326770581688063,0.20826803463449475,0.224296868195973,0.1556920927146536,0.011199095939376215,0.1321854586591207,0.08472260150987103
32,uchuu,low,multiplicative,OLS,358597,2450717,0.0,0.03818629454818582,0.03818629454818582,0.031394331930556865,0.03818629454818582,0.049434776915515545,0.7724581141216945,0.017740972887379067,0.022007516724405877,0.8061324278220222
32,uchuu,low,multiplicative,ISD-1,358597,2450717,0.0,0.03818629454818582,0.03818629454818582,0.031448811508820305,0.03818629454818582,0.04946939292772971,0.771917589608842,0.017740972887379067,0.02211735740022851,0.8021289599089162
32,uchuu,low,multiplicative,ElasticNet,358597,2450717,0.0,0.03818629454818582,0.03818629454818582,0.0,0.03818629454818582,0.03818629454818582,1.0,0.017740972887379067,0.017740972887398176,0.9999999999989229
32,uchuu,low,multiplicative,MCMC-add,358597,2450717,0.0,0.03818629454818582,0.03818629454818582,0.032789112091719114,0.03818629454818582,0.05033208681431882,0.7586868926984828,0.017740972887379067,0.024929332508929616,0.7116505378162171
32,uchuu,low,multiplicative,MCMC-comb,358597,2450717,0.0,0.03818629454818582,0.03818629454818582,0.03366833519099656,0.16712567209878834,0.17048327504187916,0.2239885087777987,0.017740972887379067,0.10300512303768655,0.17223388860851285
32,uchuu,low,combined,OLS,358597,2450717,0.03492124879877386,0.03818629454818582,0.05174636904157306,0.07464986404687605,0.03818629454818582,0.08384983776691451,0.6171314151545222,0.027406533542179205,0.04324300970376748,0.6337795109527599
32,uchuu,low,combined,ISD-1,358597,2450717,0.03492124879877386,0.03818629454818582,0.05174636904157306,0.07641587823712555,0.03818629454818582,0.08542587159679439,0.6057458715295665,0.027406533542179205,0.04321592396736567,0.6341767345498649
32,uchuu,low,combined,ElasticNet,358597,2450717,0.03492124879877386,0.03818629454818582,0.05174636904157306,0.020153866013575387,0.03818629454818582,0.04317836734539595,1.1984327389602123,0.027406533542179205,0.03983143999763905,0.6880628353833977
32,uchuu,low,combined,MCMC-add,358597,2450717,0.03492124879877386,0.03818629454818582,0.05174636904157306,0.07399615083987078,0.03818629454818582,0.08326838193718979,0.6214407898619416,0.027406533542179205,0.04587110415506493,0.5974683637335787
32,uchuu,low,combined,MCMC-comb,358597,2450717,0.03492124879877386,0.03818629454818582,0.05174636904157306,0.0776458168901656,0.19045210105201163,0.20567176684140867,0.25159685180063696,0.027406533542179205,0.12781912001026793,0.21441654065508814
32,uchuu,medium,additive,OLS,358597,2450717,0.08730312199693467,0.0,0.08730312199693467,0.13747305403875884,0.0,0.13747305403875884,0.6350562487127159,0.020360683966703805,0.0508500445351906,0.40040641365836493
32,uchuu,medium,additive,ISD-1,358597,2450717,0.08730312199693467,0.0,0.08730312199693467,0.1430644955085758,0.0,0.1430644955085758,0.6102361154427822,0.020360683966703805,0.0537632448014053,0.378710102820498
32,uchuu,medium,additive,ElasticNet,358597,2450717,0.08730312199693467,0.0,0.08730312199693467,0.05471023449087371,0.0,0.05471023449087371,1.5957365712168137,0.020360683966703805,0.04925823362306106,0.41334579965879276
32,uchuu,medium,additive,MCMC-add,358597,2450717,0.08730312199693467,0.0,0.08730312199693467,0.13673208302551984,0.0,0.13673208302551984,0.6384977107431349,0.020360683966703805,0.05916182674776291,0.34415238822005617
32,uchuu,medium,additive,MCMC-comb,358597,2450717,0.08730312199693467,0.0,0.08730312199693467,0.14542272948190585,0.25716957073494134,0.2954385864472709,0.2955034514847176,0.020360683966703805,0.16587533926277767,0.12274690172267656
32,uchuu,medium,multiplicative,OLS,358597,2450717,0.0,0.09546573637046454,0.09546573637046454,0.03243861988535232,0.09546573637046454,0.10082643939374936,0.9468323680225373,0.039299257357590295,0.04321911238875009,0.909302740974844
32,uchuu,medium,multiplicative,ISD-1,358597,2450717,0.0,0.09546573637046454,0.09546573637046454,0.03260852384031051,0.09546573637046454,0.10088123040387213,0.9463181207076186,0.039299257357590295,0.04349363462116458,0.9035634225534868
32,uchuu,medium,multiplicative,ElasticNet,358597,2450717,0.0,0.09546573637046454,0.09546573637046454,0.0,0.09546573637046454,0.09546573637046454,1.0,0.039299257357590295,0.03929925735753079,1.0000000000015141
32,uchuu,medium,multiplicative,MCMC-add,358597,2450717,0.0,0.09546573637046454,0.09546573637046454,0.032946944270785594,0.09546573637046454,0.10099112811300451,0.9452883451667428,0.039299257357590295,0.04578560898037172,0.8583320880243807
32,uchuu,medium,multiplicative,MCMC-comb,358597,2450717,0.0,0.09546573637046454,0.09546573637046454,0.03285246999127019,0.13274920568027818,0.13675392642725878,0.6980840613833785,0.039299257357590295,0.08968064332800581,0.4382133746950695
32,uchuu,medium,combined,OLS,358597,2450717,0.08730312199693467,0.09546573637046454,0.12936592260393265,0.13933450447454113,0.09546573637046454,0.16890177902532869,0.7659239787198026,0.0177693627983397,0.0825591738752016,0.21523183874393279
32,uchuu,medium,combined,ISD-1,358597,2450717,0.08730312199693467,0.09546573637046454,0.12936592260393265,0.14536475153718714,0.09546573637046454,0.17390979791323774,0.7438679370352228,0.0177693627983397,0.08295661074159,0.21420068442394904
32,uchuu,medium,combined,ElasticNet,358597,2450717,0.08730312199693467,0.09546573637046454,0.12936592260393265,0.06579546397051107,0.09546573637046454,0.11594287343278092,1.1157729558853298,0.0177693627983397,0.08084100792153584,0.21980629949080566
32,uchuu,medium,combined,MCMC-add,358597,2450717,0.08730312199693467,0.09546573637046454,0.12936592260393265,0.13868845733749915,0.09546573637046454,0.16836922230446502,0.7683466184217326,0.0177693627983397,0.09360183177088233,0.18983990443515442
32,uchuu,medium,combined,MCMC-comb,358597,2450717,0.08730312199693467,0.09546573637046454,0.12936592260393265,0.1362725956164972,0.19091710595135586,0.23456248988467576,0.551520077517664,0.0177693627983397,0.14282898394455237,0.1244100623528761
32,uchuu,high,additive,OLS,358597,2450717,0.17460624399386934,0.0,0.17460624399386934,0.2370802236905956,0.0,0.2370802236905956,0.7364859087603246,0.15924412854748465,0.07196882974977112,2.2126819221760528
32,uchuu,high,additive,ISD-1,358597,2450717,0.17460624399386934,0.0,0.17460624399386934,0.25328269494854017,0.0,0.25328269494854017,0.6893729712933778,0.15924412854748465,0.06155234660385613,2.587133348016147
32,uchuu,high,additive,ElasticNet,358597,2450717,0.17460624399386934,0.0,0.17460624399386934,0.13857977610910835,0.0,0.13857977610910835,1.2599691592544946,0.15924412854748465,0.05725881766104551,2.781128480335739
32,uchuu,high,additive,MCMC-add,358597,2450717,0.17460624399386934,0.0,0.17460624399386934,0.2372318238410033,0.0,0.2372318238410033,0.7360152662776531,0.15924412854748465,0.09224897811848529,1.726242737810605
32,uchuu,high,additive,MCMC-comb,358597,2450717,0.17460624399386934,0.0,0.17460624399386934,0.24615694486598164,0.25847427582532323,0.35693443763411115,0.48918295794382255,0.15924412854748465,0.18768016174324595,0.8484867397191241
32,uchuu,high,multiplicative,OLS,358597,2450717,0.0,0.1909314727409291,0.1909314727409291,0.03432568081366392,0.1909314727409291,0.19399247316930027,0.9842210350826354,0.06657704083241127,0.07091040532825822,0.9388895822018368
32,uchuu,high,multiplicative,ISD-1,358597,2450717,0.0,0.1909314727409291,0.1909314727409291,0.034651814588233285,0.1909314727409291,0.19405044585694062,0.9839269984552835,0.06657704083241127,0.07087953142256402,0.9392985463673215
32,uchuu,high,multiplicative,ElasticNet,358597,2450717,0.0,0.1909314727409291,0.1909314727409291,0.0,0.1909314727409291,0.1909314727409291,1.0,0.06657704083241127,0.0665770408323825,1.000000000000432
32,uchuu,high,multiplicative,MCMC-add,358597,2450717,0.0,0.1909314727409291,0.1909314727409291,0.0339071865281551,0.1909314727409291,0.1939188608188364,0.9845946491986759,0.06657704083241127,0.07156063726599605,0.9303584117751719
32,uchuu,high,multiplicative,MCMC-comb,358597,2450717,0.0,0.1909314727409291,0.1909314727409291,0.01919842866555543,0.17286799279143264,0.17393079829335928,1.0977438993805786,0.06657704083241127,0.1131816246294931,0.5882318887925071
32,uchuu,high,combined,OLS,358597,2450717,0.17460624399386934,0.1909314727409291,0.2587318452078653,0.24048416616746587,0.1909314727409291,0.30706263442542386,0.8426028314777041,0.10799608129996244,0.10016133480166667,1.0782212668572124
32,uchuu,high,combined,ISD-1,358597,2450717,0.17460624399386934,0.1909314727409291,0.2587318452078653,0.2563814924423722,0.1909314727409291,0.31966591458896315,0.8093820247947021,0.10799608129996244,0.10279424640667034,1.050604339008555
32,uchuu,high,combined,ElasticNet,358597,2450717,0.17460624399386934,0.1909314727409291,0.2587318452078653,0.2384229131251198,0.1909314727409291,0.30545099899343686,0.8470486135598614,0.10799608129996244,0.10174527833908355,1.061435803832066
32,uchuu,high,combined,MCMC-add,358597,2450717,0.17460624399386934,0.1909314727409291,0.2587318452078653,0.23968994258914952,0.1909314727409291,0.30644101530540907,0.8443120610013798,0.10799608129996244,0.14326340016333797,0.7538288298116167
32,uchuu,high,combined,MCMC-comb,358597,2450717,0.17460624399386934,0.1909314727409291,0.2587318452078653,0.2197296969985804,0.14681562897485453,0.2642649591874982,0.9790622487497213,0.10799608129996244,0.1729579474602458,0.6244065848710724
32,glass,low,additive,OLS,241930,2422599,0.03492124879877386,0.0,0.03492124879877386,0.012692151680248018,0.0,0.012692151680248018,2.7514049373613743,0.8720678805720129,0.3078260960609924,2.832988793774073
32,glass,low,additive,ISD-1,241930,2422599,0.03492124879877386,0.0,0.03492124879877386,0.012830132692314073,0.0,0.012830132692314073,2.721815092348463,0.8720678805720129,0.24368022101236875,3.5787388773245916
32,glass,low,additive,ElasticNet,241930,2422599,0.03492124879877386,0.0,0.03492124879877386,0.012841413306045768,0.0,0.012841413306045768,2.719424098150696,0.8720678805720129,0.24905415797315106,3.5015190578188418
32,glass,low,additive,MCMC-add,241930,2422599,0.03492124879877386,0.0,0.03492124879877386,0.012700953430045635,0.0,0.012700953430045635,2.7494982161074177,0.8720678805720129,0.29246051831684866,2.9818311394334045
32,glass,low,additive,MCMC-comb,241930,2422599,0.03492124879877386,0.0,0.03492124879877386,0.012818997268467996,0.05521723460733019,0.05668570973931554,0.6160503054362132,0.8720678805720129,0.7194639133584435,1.2121078825221643
32,glass,low,multiplicative,OLS,241930,2422599,0.0,0.03818629454818582,0.03818629454818582,0.005423013704133489,0.03818629454818582,0.03856944605456534,0.990065931830147,0.17189231430916338,0.18069827262702987,0.951267058672761
32,glass,low,multiplicative,ISD-1,241930,2422599,0.0,0.03818629454818582,0.03818629454818582,0.0054243346147533735,0.03818629454818582,0.03856963180189328,0.9900611637757806,0.17189231430916338,0.18429115309591318,0.9327214650380048
32,glass,low,multiplicative,ElasticNet,241930,2422599,0.0,0.03818629454818582,0.03818629454818582,0.0,0.03818629454818582,0.03818629454818582,1.0,0.17189231430916338,0.17189231430857602,1.000000000003417
32,glass,low,multiplicative,MCMC-add,241930,2422599,0.0,0.03818629454818582,0.03818629454818582,0.005227424772572781,0.03818629454818582,0.03854243195588096,0.9907598615442117,0.17189231430916338,0.1557254313733402,1.1038165879089092
32,glass,low,multiplicative,MCMC-comb,241930,2422599,0.0,0.03818629454818582,0.03818629454818582,0.005687749198154421,0.06121541759264848,0.0614790845896671,0.6211265961920952,0.17189231430916338,0.5699839417970697,0.3015739597280828
32,glass,low,combined,OLS,241930,2422599,0.03492124879877386,0.03818629454818582,0.05174636904157306,0.012833150703863714,0.03818629454818582,0.04028502014780288,1.2845064704378775,0.7470885224597994,0.39094343645795165,1.9109887845377687
32,glass,low,combined,ISD-1,241930,2422599,0.03492124879877386,0.03818629454818582,0.05174636904157306,0.012964268829491147,0.03818629454818582,0.04032698051682176,1.2831699368116065,0.7470885224597994,0.3857594127498288,1.9366695867102495
32,glass,low,combined,ElasticNet,241930,2422599,0.03492124879877386,0.03818629454818582,0.05174636904157306,0.01298294440950378,0.03818629454818582,0.040332988196525574,1.2829788060689902,0.7470885224597994,0.4036260531650787,1.8509422684720707
32,glass,low,combined,MCMC-add,241930,2422599,0.03492124879877386,0.03818629454818582,0.05174636904157306,0.012804011909095752,0.03818629454818582,0.04027574719715417,1.2848022108260078,0.7470885224597994,0.2755369321173627,2.711391597194612
32,glass,low,combined,MCMC-comb,241930,2422599,0.03492124879877386,0.03818629454818582,0.05174636904157306,0.012307093282112916,0.06802517731065072,0.06912951101519595,0.7485423848896927,0.7470885224597994,0.8584212718938334,0.8703052299852568
32,glass,medium,additive,OLS,241930,2422599,0.08730312199693467,0.0,0.08730312199693467,0.039094126331694255,0.0,0.039094126331694255,2.2331518872224185,5.462205783619161,0.35042660366659256,15.587303379557573
32,glass,medium,additive,ISD-1,241930,2422599,0.08730312199693467,0.0,0.08730312199693467,0.039455555402860394,0.0,0.039455555402860394,2.212695299952754,5.462205783619161,0.37522304828907443,14.557223519518555
32,glass,medium,additive,ElasticNet,241930,2422599,0.08730312199693467,0.0,0.08730312199693467,0.03946764027356442,0.0,0.03946764027356442,2.212017779421453,5.462205783619161,0.30718647877779726,17.781400422803884
