source,level,scenario,n_gal,n_rand,bias_contaminated,bias_OLS,bias_ISD-1,bias_ISD-3,bias_ElasticNet,bias_MCMC-add,bias_MCMC-comb,improvement_OLS,improvement_ISD-1,improvement_ISD-3,improvement_ElasticNet,improvement_MCMC-add,improvement_MCMC-comb
uchuu,low,additive,358597,2450717,0.0045,0.0105,0.0096,0.0104,0.0089,0.0112,0.0519,0.43,0.47,0.43,0.51,0.41,0.09
uchuu,low,multiplicative,358597,2450717,0.0063,0.0080,0.0063,0.0063,0.0063,0.0088,0.0380,0.78,1.00,1.00,1.00,0.71,0.16
uchuu,low,combined,358597,2450717,0.0103,0.0159,0.0145,0.0155,0.0145,0.0167,0.0488,0.65,0.71,0.66,0.71,0.61,0.21
uchuu,medium,additive,358597,2450717,0.0079,0.0189,0.0152,0.0214,0.0186,0.0217,0.0629,0.42,0.52,0.37,0.42,0.36,0.13
uchuu,medium,multiplicative,358597,2450717,0.0142,0.0156,0.0142,0.0142,0.0142,0.0163,0.0328,0.91,1.00,1.00,1.00,0.87,0.43
uchuu,medium,combined,358597,2450717,0.0066,0.0300,0.0269,0.0314,0.0297,0.0335,0.0528,0.22,0.25,0.21,0.22,0.20,0.12
uchuu,high,additive,358597,2450717,0.0614,0.0247,0.0162,0.0112,0.0216,0.0340,0.0689,2.48,3.78,5.47,2.85,1.81,0.89
uchuu,high,multiplicative,358597,2450717,0.0242,0.0256,0.0242,0.0242,0.0242,0.0262,0.0415,0.95,1.00,1.00,1.00,0.92,0.58
uchuu,high,combined,358597,2450717,0.0434,0.0376,0.0278,0.0294,0.0381,0.0519,0.0378,1.16,1.56,1.48,1.14,0.84,1.15
glass,low,additive,242124,2422610,0.1437,0.0442,0.0524,0.0338,0.0468,0.0364,0.2490,3.25,2.74,4.25,3.07,3.95,0.58
glass,low,multiplicative,242124,2422610,0.0357,0.0467,0.0357,0.0357,0.0357,0.0316,0.2375,0.77,1.00,1.00,1.00,1.13,0.15
glass,low,combined,242124,2422610,0.1114,0.0520,0.0407,0.0477,0.0572,0.0560,0.2217,2.14,2.74,2.33,1.95,1.99,0.50
glass,medium,additive,242124,2422610,0.9164,0.0412,0.0796,0.0349,0.0345,0.0643,0.2185,22.24,11.52,26.24,26.52,14.25,4.19
glass,medium,multiplicative,242124,2422610,0.0555,0.0557,0.0555,0.0555,0.0555,0.0460,0.2066,1.00,1.00,1.00,1.00,1.21,0.27
glass,medium,combined,242124,2422610,0.8792,0.0677,0.0712,0.0439,0.0681,0.1159,0.1616,12.98,12.36,20.01,12.90,7.58,5.44
glass,high,additive,242124,2422610,3.6334,0.0893,0.4508,0.3414,0.0849,0.1019,0.2579,40.68,8.06,10.64,42.81,35.67,14.09
glass,high,multiplicative,242124,2422610,0.0658,0.0711,0.0658,0.0658,0.0658,0.0674,0.0756,0.93,1.00,1.00,1.00,0.98,0.87
glass,high,combined,242124,2422610,3.6037,0.0810,0.4617,0.3584,0.0763,0.1602,0.1540,44.46,7.81,10.05,47.20,22.50,23.40
