nside,n_sys,n_pix,n_real,n_mean,sigma_clus,regime,cl_slope,kappa_per_template_median,kappa_per_template_max,kappa_field,fpr3_per_template,fpr3_any_template,sigma_emp_median,sigma_iid_median
64,3,22641,2000,127.0,0.0,shot-only,0.0,0.9952522325291725,1.0104108372306684,0.9904367649357497,0.0023333333333333335,0.0065,0.000717584143805766,0.0007148862670830195
64,5,22641,2000,127.0,0.0,shot-only,0.0,0.9963390119181057,1.017085072874922,0.9964530653296676,0.0021,0.0095,0.0006537683851275161,0.0006427863337720174
64,7,22641,2000,127.0,0.0,shot-only,0.0,0.9974286501336785,1.0280003185661784,0.9969941482096784,0.0027142857142857142,0.0155,0.0006583979493262814,0.0006665019907444396
64,9,22641,2000,127.0,0.0,shot-only,0.0,0.9935044762961056,1.0212623363481292,0.9985219181032905,0.0028333333333333335,0.024,0.0007493787649205889,0.0007405738510394784
64,11,22641,2000,127.0,0.0,shot-only,0.0,0.994426319172873,1.0332642363204523,0.9941756100514022,0.0026363636363636363,0.0245,0.0009605878038460045,0.000967297713645436
64,3,22641,2000,127.0,0.4,clustered,1.0,3.9743920709768323,4.015555791955835,3.87740759870423,0.4211666666666667,0.792,0.013739893427891477,0.0034277562989380966
64,5,22641,2000,127.0,0.4,clustered,1.0,2.9813986257092013,3.9864484119399832,3.366265026409525,0.3228,0.865,0.008890210846085446,0.0030801194531929607
64,7,22641,2000,127.0,0.4,clustered,1.0,2.9899562107763273,3.9408065330663984,3.2403884512738723,0.2862142857142857,0.867,0.008944210656427013,0.0031937140484377515
64,9,22641,2000,127.0,0.4,clustered,1.0,2.2066419959205015,3.915515558699809,2.958963243228322,0.23416666666666666,0.871,0.008780486539871103,0.0035472984200015083
64,11,22641,2000,127.0,0.4,clustered,1.0,2.133778628921947,3.869161833469156,2.7339682051424887,0.19454545454545455,0.8865,0.008771377526691144,0.004634307740395635
