nside,n_sys,n_pix,n_real,n_mean,sigma_clus,regime,cl_slope,kappa_per_template_median,kappa_per_template_max,kappa_field,fpr3_per_template,fpr3_any_template,sigma_emp_median,sigma_iid_median
64,3,22641,2000,127.0,0.0,shot-only,0.0,1.007893875646457,1.025498751786143,1.0087665369038652,0.0025,0.0075,0.0007153298397643938,0.000714929116894672
64,5,22641,2000,127.0,0.0,shot-only,0.0,1.0010245196533756,1.0252616738368547,1.0071045413949902,0.0036,0.0165,0.0006392095343093797,0.0006427522035354442
64,7,22641,2000,127.0,0.0,shot-only,0.0,0.9965802581034362,1.0294540066003102,1.0015068417587165,0.003285714285714286,0.0195,0.0006721035345090859,0.0006664227013176716
64,9,22641,2000,127.0,0.0,shot-only,0.0,1.0060262841761025,1.0367653849687826,1.010114154699112,0.003611111111111111,0.0295,0.0007515882412919925,0.0007404503747021276
64,11,22641,2000,127.0,0.0,shot-only,0.0,1.0059754518332769,1.0469428303232957,1.0050505217116235,0.0020909090909090908,0.0215,0.0009714101395861156,0.0009674020210188785
64,3,22641,2000,127.0,0.4,clustered,2.0,12.658471423503649,13.511133757470205,12.943727882791942,0.7975,0.9925,0.04295342344660784,0.003364447834813423
64,5,22641,2000,127.0,0.4,clustered,2.0,9.651766444013186,13.373758766314687,11.087872280146968,0.7367,0.9995,0.028173866780920077,0.003015193567969988
64,7,22641,2000,127.0,0.4,clustered,2.0,9.592633197791484,13.109869701400358,10.748820712596086,0.7112857142857143,1.0,0.02806301755923845,0.003123311980275198
64,9,22641,2000,127.0,0.4,clustered,2.0,5.685562665833375,12.942295015008884,9.795615564939194,0.5964444444444444,1.0,0.025730269755115043,0.003464849064525431
64,11,22641,2000,127.0,0.4,clustered,2.0,5.522655314138971,13.17136259347434,8.756218747044034,0.48668181818181816,0.9995,0.017717239504946213,0.004521587353069617
