nside,n_sys,n_pix,n_real,n_mean,sigma_clus,regime,cl_slope,kappa_per_template_median,kappa_per_template_max,kappa_field,fpr3_per_template,fpr3_any_template,sigma_emp_median,sigma_iid_median
64,3,22641,2000,127.0,0.0,shot-only,0.0,1.0081479894877217,1.0170175503708525,1.0019437070114927,0.0031666666666666666,0.0095,0.0006922337254285837,0.0007148010487233583
64,5,22641,2000,127.0,0.0,shot-only,0.0,1.0008963627227443,1.0098964443914435,0.9969343053121665,0.0029,0.014,0.0006440481805871875,0.0006427448525711482
64,7,22641,2000,127.0,0.0,shot-only,0.0,0.9930811707545409,1.0279510741441367,0.9982020825862236,0.003357142857142857,0.02,0.0006850842750994172,0.000666456110929027
64,9,22641,2000,127.0,0.0,shot-only,0.0,1.0060383959529835,1.0235575487171393,1.0042187938486125,0.0029444444444444444,0.023,0.0007578696334772338,0.0007404269886213026
64,11,22641,2000,127.0,0.0,shot-only,0.0,1.0086196856189305,1.0355522282060388,1.0041560762535728,0.003,0.029,0.0009761054097551668,0.0009672514876805417
64,3,22641,2000,127.0,0.2,clustered,2.0,12.294872528375725,13.06477700405041,12.373420381766813,0.7973333333333333,0.99,0.021723455187320016,0.001751871119566205
64,5,22641,2000,127.0,0.2,clustered,2.0,9.411385027274786,12.965915822997973,10.810342361961013,0.7314,0.9975,0.014318032437852318,0.0015714672925631608
64,7,22641,2000,127.0,0.2,clustered,2.0,9.096604355110092,12.304743973731046,10.292923598747157,0.6880714285714286,1.0,0.013815792499014852,0.001621493952062649
64,9,22641,2000,127.0,0.2,clustered,2.0,5.527036350349889,12.394619287601046,9.311889533151234,0.5816111111111111,1.0,0.013014891650584892,0.0018028586087992554
64,11,22641,2000,127.0,0.2,clustered,2.0,5.365000123786611,12.288769564357539,8.350442693574202,0.4803636363636364,0.9995,0.0089504777866611,0.002351244362541534
