nside,n_sys,n_pix,n_real,n_mean,sigma_clus,regime,cl_slope,kappa_per_template_median,kappa_per_template_max,kappa_field,fpr3_per_template,fpr3_any_template,sigma_emp_median,sigma_iid_median
32,3,5954,2000,127.0,0.0,shot-only,0.0,1.0096008559506284,1.0400352459000677,1.0091586017345482,0.0023333333333333335,0.007,0.0014290307516712972,0.0014154413036087797
32,5,5954,2000,127.0,0.0,shot-only,0.0,1.0045915361870945,1.0063873431674235,0.9887391752402189,0.0018,0.008,0.0012972488308762434,0.0012913196897914583
32,7,5954,2000,127.0,0.0,shot-only,0.0,0.9972837560528253,1.015742761062465,1.0005094457901724,0.0025714285714285713,0.016,0.0013326719474286936,0.0013312485557142374
32,9,5954,2000,127.0,0.0,shot-only,0.0,0.9964310931678427,1.0260814376246459,1.0038220229458077,0.0024444444444444444,0.0195,0.001450912484711637,0.0014620240756760378
32,11,5954,2000,127.0,0.0,shot-only,0.0,1.001565687596097,1.0306072471878354,1.0052035056451099,0.002681818181818182,0.0275,0.0019092427446507387,0.0019475265940728645
32,3,5954,2000,127.0,0.4,clustered,1.0,2.899451691227916,2.9084239647212766,2.865257957040101,0.2775,0.605,0.019661173056191177,0.006780996943551311
32,5,5954,2000,127.0,0.4,clustered,1.0,2.299881276416933,3.009893429576622,2.5689876678912955,0.2061,0.6675,0.013507494993386415,0.0061825891673317635
32,7,5954,2000,127.0,0.4,clustered,1.0,2.3257395942255163,2.9525350681760014,2.5186407765150576,0.19328571428571428,0.714,0.013682076138704936,0.006358442941450033
32,9,5954,2000,127.0,0.4,clustered,1.0,1.7280741835146154,2.9724735077770212,2.3385647185423433,0.15594444444444444,0.7305,0.013581532229177674,0.006988561212293853
32,11,5954,2000,127.0,0.4,clustered,1.0,1.7020114163959317,2.8570117097678613,2.137323439509638,0.12427272727272727,0.7215,0.01610544035140631,0.009306568176942564
