nside,n_sys,n_pix,n_real,n_mean,sigma_clus,regime,cl_slope,kappa_per_template_median,kappa_per_template_max,kappa_field,fpr3_per_template,fpr3_any_template,sigma_emp_median,sigma_iid_median
64,3,22641,2000,127.0,0.0,shot-only,0.0,1.0115676022805575,1.0283016743594553,1.0169639672378805,0.005166666666666667,0.0145,0.0007231435919315327,0.0007148742113737342
64,5,22641,2000,127.0,0.0,shot-only,0.0,0.9965330108176765,1.0447625768156503,1.0025457639724067,0.0034,0.016,0.0006393054065819324,0.0006427259377337275
64,7,22641,2000,127.0,0.0,shot-only,0.0,1.0118348559335841,1.0326931939808783,1.0132791706923108,0.004142857142857143,0.026,0.0006807959061745442,0.0006663401356735511
64,9,22641,2000,127.0,0.0,shot-only,0.0,1.006244364154049,1.0469514012660213,1.0048820013950388,0.002,0.0165,0.0007753980978311056,0.0007406247289926342
64,11,22641,2000,127.0,0.0,shot-only,0.0,0.9966060916705792,1.0139452119805952,1.0008797735317752,0.0022272727272727275,0.023,0.0009485121663390072,0.0009672987948577254
64,3,22641,2000,127.0,0.4,clustered,2.5,18.807266869231952,19.390255608090335,18.727813335194956,0.862,0.9965,0.06182657875783401,0.003259468655542673
64,5,22641,2000,127.0,0.4,clustered,2.5,14.389468757771839,19.690676109889917,16.239518704158492,0.8219,1.0,0.0408275946617478,0.002930789178491057
64,7,22641,2000,127.0,0.4,clustered,2.5,14.424258212852841,19.994903956710047,15.877712939266749,0.7892857142857143,1.0,0.04090866549089038,0.003027893958401082
64,9,22641,2000,127.0,0.4,clustered,2.5,8.354431266956194,19.845592345390276,14.203403385647741,0.6784444444444444,1.0,0.03648790483063295,0.003343839841704163
64,11,22641,2000,127.0,0.4,clustered,2.5,8.076779756798967,19.485394309570548,12.802690744348686,0.5621363636363637,1.0,0.024665068514007734,0.004357069606003786
