nside,n_sys,n_pix,n_real,n_mean,sigma_clus,regime,cl_slope,kappa_per_template_median,kappa_per_template_max,kappa_field,fpr3_per_template,fpr3_any_template,sigma_emp_median,sigma_iid_median
32,3,5954,2000,127.0,0.0,shot-only,0.0,1.001510073927028,1.0129302300824905,1.0072001209060297,0.0031666666666666666,0.009,0.0014176396121456068,0.0014155020993317526
32,5,5954,2000,127.0,0.0,shot-only,0.0,1.0061435156770366,1.0311050337586116,1.0043997137993463,0.0027,0.0135,0.001312678730879559,0.0012917359282797877
32,7,5954,2000,127.0,0.0,shot-only,0.0,1.018968222861787,1.0289617169546752,1.009000664706244,0.0025714285714285713,0.017,0.0013610785775474278,0.0013310625576461762
32,9,5954,2000,127.0,0.0,shot-only,0.0,1.0090029174218094,1.0160143748508388,0.9960713659111449,0.003,0.0245,0.0014708769570531907,0.0014615032300783267
32,11,5954,2000,127.0,0.0,shot-only,0.0,0.9984034239048739,1.0169725260023124,0.9947566270298706,0.002318181818181818,0.024,0.0019019691379459926,0.0019471501947369587
32,3,5954,2000,127.0,0.4,clustered,2.0,7.387831484427143,7.543816528631981,7.412247705046595,0.6611666666666667,0.9625,0.04956942981070424,0.006632908538641106
32,5,5954,2000,127.0,0.4,clustered,2.0,5.821344127434097,7.737436960188953,6.52867454441718,0.5851,0.989,0.03341201048449003,0.006041994515870325
32,7,5954,2000,127.0,0.4,clustered,2.0,5.876252752608187,8.559234737785243,6.504687491124535,0.554,0.996,0.03353552102510541,0.006168285296862732
32,9,5954,2000,127.0,0.4,clustered,2.0,3.6227115228639195,8.456134341930984,5.883496531177324,0.447,0.993,0.03269292342446721,0.006775395712676165
32,11,5954,2000,127.0,0.4,clustered,2.0,3.5547835257715263,8.124900423131374,5.295277707663307,0.37545454545454543,0.9925,0.023018301749180355,0.00902495163179182
