nside,n_sys,n_pix,n_real,n_mean,sigma_clus,regime,cl_slope,kappa_per_template_median,kappa_per_template_max,kappa_field,fpr3_per_template,fpr3_any_template,sigma_emp_median,sigma_iid_median
64,3,22641,2000,127.0,0.0,shot-only,0.0,1.0003165016352134,1.0095877362557748,0.9993441219533256,0.003,0.0085,0.0007032077010264553,0.0007148661112268988
64,5,22641,2000,127.0,0.0,shot-only,0.0,0.9889079324883189,0.9903524655412537,0.9893546690063862,0.0026,0.0125,0.0006314794580062948,0.0006427593641113582
64,7,22641,2000,127.0,0.0,shot-only,0.0,1.010689835697757,1.016482082559719,1.0038264954987683,0.003,0.018,0.0006754468368524595,0.0006663194749801814
64,9,22641,2000,127.0,0.0,shot-only,0.0,1.0122261547972433,1.0363823390704627,1.007757271713264,0.0033333333333333335,0.0275,0.0007468830431854145,0.0007405083070829528
64,11,22641,2000,127.0,0.0,shot-only,0.0,0.998013203981194,1.0136141904349227,0.9966028825768963,0.0022272727272727275,0.023,0.0009664908727192867,0.0009673687008301071
64,3,22641,2000,127.0,0.2,clustered,2.5,17.294724363662354,18.447605372711294,17.561220243074704,0.853,0.9985,0.02996780376515324,0.001718060893531789
64,5,22641,2000,127.0,0.2,clustered,2.5,13.52415629596393,19.004125030652762,15.59785393051056,0.8109,0.9995,0.020119309091309497,0.0015366622662184852
64,7,22641,2000,127.0,0.2,clustered,2.5,13.280217397146995,19.52540499900375,15.057901729631329,0.7876428571428571,1.0,0.019648456625330404,0.0015795817060475982
64,9,22641,2000,127.0,0.2,clustered,2.5,7.753314175173155,19.3274871634186,13.54961746728643,0.6621111111111111,1.0,0.017710002405019458,0.0017488182210565594
64,11,22641,2000,127.0,0.2,clustered,2.5,7.767047476280389,19.602701423535112,12.297250205875379,0.550409090909091,1.0,0.012806064276200044,0.002292419690198418
