nside,n_sys,n_pix,n_real,n_mean,sigma_clus,regime,cl_slope,kappa_per_template_median,kappa_per_template_max,kappa_field,fpr3_per_template,fpr3_any_template,sigma_emp_median,sigma_iid_median
32,3,5954,2000,127.0,0.0,shot-only,0.0,1.0020437178658312,1.0049111549889835,0.9927874993230325,0.003,0.008,0.0014168393565382497,0.0014151630281250018
32,5,5954,2000,127.0,0.0,shot-only,0.0,0.9997247401686346,1.0175801736372365,1.0034341470105905,0.0026,0.012,0.0012822652695678972,0.0012916227679805427
32,7,5954,2000,127.0,0.0,shot-only,0.0,1.0093287754177072,1.028543909172148,1.0030847749482654,0.0027142857142857142,0.017,0.0013693646296880154,0.0013313623438693896
32,9,5954,2000,127.0,0.0,shot-only,0.0,1.0009400114135358,1.0309087466537283,1.0041925731668861,0.0025,0.021,0.0015068836581734117,0.0014617042129719735
32,11,5954,2000,127.0,0.0,shot-only,0.0,1.010447249308361,1.032172815043744,0.9994271296081126,0.0029545454545454545,0.029,0.001978987149351045,0.001947255846190918
32,3,5954,2000,127.0,0.4,clustered,1.5,4.809888826175882,4.829173149751794,4.758261220175553,0.499,0.8685,0.032482128756570326,0.006726229884351904
32,5,5954,2000,127.0,0.4,clustered,1.5,3.6248798279168635,5.0289862607826175,4.231327047390241,0.4043,0.9185,0.0211308307631343,0.006136545368169354
32,7,5954,2000,127.0,0.4,clustered,1.5,3.6325599798557073,5.251432597580687,4.14605092047488,0.38535714285714284,0.95,0.02120380743376911,0.006309005696469761
32,9,5954,2000,127.0,0.4,clustered,1.5,2.5561235926586527,5.090979299629831,3.826583514266445,0.31327777777777777,0.956,0.021902188824579758,0.006923671613418587
32,11,5954,2000,127.0,0.4,clustered,1.5,2.4193259239877123,5.038709828454988,3.4573907259913628,0.25522727272727275,0.9555,0.021219412445665744,0.00922769141096494
