nside,n_sys,n_pix,n_real,n_mean,sigma_clus,regime,cl_slope,kappa_per_template_median,kappa_per_template_max,kappa_field,fpr3_per_template,fpr3_any_template,sigma_emp_median,sigma_iid_median
64,3,22641,2000,127.0,0.0,shot-only,0.0,0.9913601185466328,0.9946377940055733,0.9899587165606698,0.0015,0.004,0.0006964990438779598,0.0007148561866938332
64,5,22641,2000,127.0,0.0,shot-only,0.0,1.009941243364298,1.0187284809823527,1.003813920094012,0.0026,0.012,0.0006547221265683546,0.0006426856015029742
64,7,22641,2000,127.0,0.0,shot-only,0.0,1.003894388679769,1.0407501790888898,1.002392713117163,0.003285714285714286,0.0205,0.0006604385412037861,0.0006664413015001555
64,9,22641,2000,127.0,0.0,shot-only,0.0,0.9902401235868229,1.023092224640741,0.9974753923477103,0.003111111111111111,0.0245,0.0007576811411793786,0.000740579512707604
64,11,22641,2000,127.0,0.0,shot-only,0.0,1.0057656083218536,1.023529988282091,1.0029932875330667,0.0030454545454545456,0.029,0.000968558037300059,0.0009671444439619501
64,3,22641,2000,127.0,0.2,clustered,1.5,7.184403611424315,7.404202454636105,7.145553864071618,0.6598333333333334,0.961,0.012821661401637237,0.001769501203510388
64,5,22641,2000,127.0,0.2,clustered,1.5,5.374583971636028,7.583601828888538,6.216345227689556,0.5639,0.983,0.008269917330264345,0.0015893950679425495
64,7,22641,2000,127.0,0.2,clustered,1.5,5.4254449995050935,7.0651042111093485,5.931912544605555,0.5267857142857143,0.988,0.008364488705174184,0.0016459736226579935
64,9,22641,2000,127.0,0.2,clustered,1.5,3.39022539663894,7.121748071772652,5.443206182609958,0.4408888888888889,0.9935,0.008100446286620206,0.0018293373671677995
64,11,22641,2000,127.0,0.2,clustered,1.5,3.3609488648249877,7.26420825363091,4.926775859572399,0.35404545454545455,0.9925,0.005948887180790987,0.0023868326962625187
