nside,n_sys,n_pix,n_real,n_mean,sigma_clus,regime,cl_slope,kappa_per_template_median,kappa_per_template_max,kappa_field,fpr3_per_template,fpr3_any_template,sigma_emp_median,sigma_iid_median
64,3,22641,2000,127.0,0.0,shot-only,0.0,1.0288895792581372,1.0454162148166795,1.0157290550262157,0.0031666666666666666,0.0095,0.0007174205117521565,0.0007148443965329756
64,5,22641,2000,127.0,0.0,shot-only,0.0,1.0139085385187092,1.0305077036957633,1.0131807222214155,0.0035,0.017,0.0006579286201920454,0.0006426471435595725
64,7,22641,2000,127.0,0.0,shot-only,0.0,1.0129473234259487,1.0253739261686747,1.0054222625253404,0.002214285714285714,0.014,0.0006834089274512553,0.0006664972748086379
64,9,22641,2000,127.0,0.0,shot-only,0.0,1.001188481114151,1.013819890418803,1.003402562185639,0.0014444444444444444,0.0125,0.0007431423083146949,0.0007405446322931577
64,11,22641,2000,127.0,0.0,shot-only,0.0,1.0126992987673158,1.0435761020894017,1.0079340638818182,0.0021363636363636363,0.022,0.0009894721808011491,0.0009672223012128631
64,3,22641,2000,127.0,0.4,clustered,3.0,22.505624697780977,24.019331542758614,22.715411736989758,0.8821666666666667,0.999,0.07223153499183813,0.0031822408979068953
64,5,22641,2000,127.0,0.4,clustered,3.0,17.771416858798432,23.93839275384815,19.78059086497587,0.8545,1.0,0.04862824987158463,0.002826455361355955
64,7,22641,2000,127.0,0.4,clustered,3.0,18.367383454612487,26.055417224865888,19.73541904244812,0.8356428571428571,1.0,0.04969706154376078,0.0028886987619893057
64,9,22641,2000,127.0,0.4,clustered,3.0,10.306516680720332,26.263950308196364,17.729128710356857,0.7158888888888889,1.0,0.04288132556659176,0.0032070168129153514
64,11,22641,2000,127.0,0.4,clustered,3.0,10.485578098575363,25.860207695184915,16.097703254113533,0.5994545454545455,1.0,0.03145543012408121,0.004210674620311169
