nside,n_sys,n_pix,n_real,n_mean,sigma_clus,regime,cl_slope,kappa_per_template_median,kappa_per_template_max,kappa_field,fpr3_per_template,fpr3_any_template,sigma_emp_median,sigma_iid_median
32,3,5954,2000,127.0,0.0,shot-only,0.0,0.9888161862202876,1.032758931009505,1.0020741295958515,0.0018333333333333333,0.0055,0.0013862627006763122,0.0014152689234373295
32,5,5954,2000,127.0,0.0,shot-only,0.0,0.9990518685622509,1.014375357594057,1.0021493681692863,0.0025,0.012,0.0012882294785210538,0.001291729223977802
32,7,5954,2000,127.0,0.0,shot-only,0.0,0.9992877661304143,1.0118768491870527,0.9992400069395996,0.002857142857142857,0.0185,0.0013434874122870547,0.0013313709181776061
32,9,5954,2000,127.0,0.0,shot-only,0.0,0.9941032604308292,1.0157433983056716,0.9945089001361722,0.0028333333333333335,0.0245,0.0014597497661236996,0.0014621880804512968
32,11,5954,2000,127.0,0.0,shot-only,0.0,0.9925641529462692,1.0243557361680953,0.994043527014552,0.0027272727272727275,0.0275,0.0019885710902239435,0.0019477926921052705
32,3,5954,2000,127.0,0.2,clustered,3.0,10.481863688031858,11.429287562101283,11.02785953469521,0.7848333333333334,0.9895,0.03535735982539555,0.0033346356351398898
32,5,5954,2000,127.0,0.2,clustered,3.0,9.125799329801167,11.734759441749478,10.045078080471159,0.7255,0.9995,0.025965599068047362,0.002995217904956995
32,7,5954,2000,127.0,0.2,clustered,3.0,9.495761901995222,14.640395851446366,10.325977331280155,0.7006428571428571,0.9995,0.026709627858168838,0.003040170094539588
32,9,5954,2000,127.0,0.2,clustered,3.0,5.961031817390551,15.047830826590195,9.484849731283308,0.5766111111111111,1.0,0.02639342918703335,0.003339100731585819
32,11,5954,2000,127.0,0.2,clustered,3.0,5.6515419862828145,13.97815100917811,8.426017114662205,0.48454545454545456,0.9995,0.01760267487098702,0.004421196539219707
