nside,n_sys,n_pix,n_real,n_mean,sigma_clus,regime,cl_slope,kappa_per_template_median,kappa_per_template_max,kappa_field,fpr3_per_template,fpr3_any_template,sigma_emp_median,sigma_iid_median
64,3,22641,2000,127.0,0.0,shot-only,0.0,0.9903312817795248,0.9932249191468069,0.9874001337847192,0.0023333333333333335,0.0065,0.0007028800981767346,0.000714882185674353
64,5,22641,2000,127.0,0.0,shot-only,0.0,1.0040224108231468,1.0189464405747382,0.9993418471918154,0.0031,0.015,0.0006505272284259127,0.0006426272951909858
64,7,22641,2000,127.0,0.0,shot-only,0.0,1.011733931388414,1.0362387399162785,1.0063801071178486,0.002285714285714286,0.015,0.0006753705230181741,0.000666393069540625
64,9,22641,2000,127.0,0.0,shot-only,0.0,0.9940997305899265,1.0136129093552269,0.9978400488400453,0.002111111111111111,0.0185,0.0007506799544313887,0.0007405982574836252
64,11,22641,2000,127.0,0.0,shot-only,0.0,1.0085992863099866,1.0244591693060465,1.004799081289422,0.0025454545454545456,0.025,0.0009620825997546688,0.0009673870324603926
64,3,22641,2000,127.0,0.2,clustered,3.0,20.225910270389328,22.616521176579415,21.44413996405116,0.8838333333333334,0.999,0.03424645613743301,0.0016788227345766917
64,5,22641,2000,127.0,0.2,clustered,3.0,16.49103915222847,22.299107894691645,18.50909491397757,0.8458,1.0,0.023799664494951793,0.0014907278240324398
64,7,22641,2000,127.0,0.2,clustered,3.0,16.506429674317747,24.64079766465444,18.487799615616506,0.8241428571428572,1.0,0.023612881115257757,0.0015272659590673352
64,9,22641,2000,127.0,0.2,clustered,3.0,9.792705512198795,24.401962841249546,16.70509674558689,0.7005555555555556,1.0,0.021188048853858027,0.0016994841858113956
64,11,22641,2000,127.0,0.2,clustered,3.0,10.084338810923434,23.963866697987672,15.253586621153907,0.5904090909090909,1.0,0.015903776127126755,0.0022364500794291023
