nside,logM,basis,theta_arcmin,exact,auto_only,frac_error
32,10.75,original,2.8619,8.237898e-03,1.731997e-01,20.024739
32,10.75,original,5.1193,8.235970e-03,1.731784e-01,20.027078
32,10.75,original,9.1573,8.229806e-03,1.731104e-01,20.034563
32,10.75,original,16.3804,8.210138e-03,1.728933e-01,20.058507
32,10.75,original,29.3011,8.147780e-03,1.722041e-01,20.135091
32,10.75,original,52.4136,7.954013e-03,1.700543e-01,20.379688
32,10.75,original,93.7568,7.389690e-03,1.637125e-01,21.154184
32,10.75,original,167.7112,6.057013e-03,1.480175e-01,23.437374
32,10.75,original,300.0000,4.445410e-03,1.244034e-01,26.984676
32,10.75,pca-rotated,0.5000,8.238748e-03,7.806540e-03,-0.052460
32,10.75,pca-rotated,0.8944,8.238689e-03,7.806478e-03,-0.052461
32,10.75,pca-rotated,1.5999,8.238501e-03,7.806278e-03,-0.052464
32,10.75,pca-rotated,2.8619,8.237898e-03,7.805641e-03,-0.052472
32,10.75,pca-rotated,5.1193,8.235970e-03,7.803600e-03,-0.052498
32,10.75,pca-rotated,9.1573,8.229806e-03,7.797078e-03,-0.052581
32,10.75,pca-rotated,16.3804,8.210138e-03,7.776273e-03,-0.052845
32,10.75,pca-rotated,29.3011,8.147780e-03,7.710341e-03,-0.053688
32,10.75,pca-rotated,52.4136,7.954013e-03,7.505827e-03,-0.056347
32,10.75,pca-rotated,93.7568,7.389690e-03,6.913695e-03,-0.064413
32,10.75,pca-rotated,167.7112,6.057013e-03,5.545936e-03,-0.084378
32,10.75,pca-rotated,300.0000,4.445410e-03,4.078274e-03,-0.082588
32,11.0,original,0.5000,1.159083e-02,2.331452e-01,19.114619
32,11.0,original,0.8944,1.159075e-02,2.331443e-01,19.114683
32,11.0,original,1.5999,1.159049e-02,2.331414e-01,19.114885
32,11.0,original,2.8619,1.158967e-02,2.331324e-01,19.115531
32,11.0,original,5.1193,1.158705e-02,2.331035e-01,19.117598
32,11.0,original,9.1573,1.157865e-02,2.330112e-01,19.124213
32,11.0,original,16.3804,1.155185e-02,2.327164e-01,19.145375
32,11.0,original,29.3011,1.146689e-02,2.317806e-01,19.213038
32,11.0,original,52.4136,1.120283e-02,2.288620e-01,19.428951
32,11.0,original,93.7568,1.043337e-02,2.202558e-01,20.110711
32,11.0,original,167.7112,8.612421e-03,1.989861e-01,22.104553
32,11.0,original,300.0000,6.385509e-03,1.671497e-01,25.176405
32,11.0,pca-rotated,0.5000,1.159083e-02,1.064818e-02,-0.081327
32,11.0,pca-rotated,0.8944,1.159075e-02,1.064809e-02,-0.081329
32,11.0,pca-rotated,1.5999,1.159049e-02,1.064781e-02,-0.081332
32,11.0,pca-rotated,2.8619,1.158967e-02,1.064692e-02,-0.081345
32,11.0,pca-rotated,5.1193,1.158705e-02,1.064405e-02,-0.081383
32,11.0,pca-rotated,9.1573,1.157865e-02,1.063491e-02,-0.081507
32,11.0,pca-rotated,16.3804,1.155185e-02,1.060573e-02,-0.081902
