nside,n_sys,n_pix,n_real,n_mean,sigma_clus,regime,cl_slope,kappa_per_template_median,kappa_per_template_max,kappa_field,fpr3_per_template,fpr3_any_template,sigma_emp_median,sigma_iid_median
32,3,5954,2000,127.0,0.0,shot-only,0.0,1.0092114503123006,1.0104204268417043,1.0049680834701937,0.0025,0.0075,0.0014058000009623973,0.001415273128893469
32,5,5954,2000,127.0,0.0,shot-only,0.0,1.0206795324533506,1.029289174573188,1.0164253875265228,0.003,0.0145,0.0013071884072099204,0.0012917591587466553
32,7,5954,2000,127.0,0.0,shot-only,0.0,1.0116092124674176,1.0285419229335335,1.0154666336051006,0.002785714285714286,0.0175,0.0013666932793786866,0.0013314278831600128
32,9,5954,2000,127.0,0.0,shot-only,0.0,1.0013974575463325,1.021171659147801,1.0005463298448614,0.002277777777777778,0.0195,0.001480850991026195,0.0014613207067372
32,11,5954,2000,127.0,0.0,shot-only,0.0,1.0140642566367901,1.0322352576195624,1.0055629836450535,0.002818181818181818,0.0245,0.0020102287151063077,0.0019474520951184091
32,3,5954,2000,127.0,0.2,clustered,1.0,2.8607692265476565,2.862167068144628,2.785736814859879,0.2555,0.554,0.010045402205140162,0.0035097190226746604
32,5,5954,2000,127.0,0.2,clustered,1.0,2.2399625206763094,2.8712121378537017,2.4835540053991396,0.1931,0.6315,0.006812242139666854,0.003201476481131179
32,7,5954,2000,127.0,0.2,clustered,1.0,2.202576626291303,2.887446895029275,2.4372569760707568,0.17871428571428571,0.672,0.006720083528505795,0.0032976420099288775
32,9,5954,2000,127.0,0.2,clustered,1.0,1.7003483953107048,2.900097707818013,2.2451068931539515,0.145,0.6775,0.0066591568382624875,0.0036200522731171135
32,11,5954,2000,127.0,0.2,clustered,1.0,1.6845410971259207,2.8183617531955036,2.0914540850574816,0.11736363636363636,0.6905,0.008127068079398217,0.00482449973661326
