nside,n_sys,n_pix,n_real,n_mean,sigma_clus,regime,cl_slope,kappa_per_template_median,kappa_per_template_max,kappa_field,fpr3_per_template,fpr3_any_template,sigma_emp_median,sigma_iid_median
64,11,22641,150,127.0,0.0,shot-only,0.0,0.9694495480567069,1.0759879808660504,0.9883591821324118,0.0018181818181818182,0.02,0.0009002501301129242,0.0009676434892698861
64,11,22641,150,127.0,0.4,clustered,1.5,3.193263939207591,6.98648125947631,4.971121364456464,0.3418181818181818,0.9933333333333333,0.011422317277224977,0.00460498701157631
64,11,22641,150,127.0,0.4,clustered,2.0,5.437208033287577,12.542513566224999,8.85898495412575,0.4818181818181818,1.0,0.018332175254088305,0.004551592281281502
64,11,22641,150,127.0,0.4,clustered,2.5,7.165335060088904,21.489770131515556,13.042611421730465,0.5545454545454546,1.0,0.021407610957908246,0.004262673926987062
64,11,22641,150,127.0,0.4,clustered,3.0,11.13881670233383,26.062722605052507,16.667490972230592,0.5987878787878788,1.0,0.0342764440155615,0.0042493443259900175
64,11,22641,150,127.0,0.4,clustered,4.0,13.079029151454293,32.6565652571743,18.921621199718015,0.6496969696969697,1.0,0.03613363817262686,0.00394172748737608
