nside,n_sys,n_pix,n_real,n_mean,sigma_clus,regime,cl_slope,kappa_per_template_median,kappa_per_template_max,kappa_field,fpr3_per_template,fpr3_any_template,sigma_emp_median,sigma_iid_median
64,3,22641,2000,127.0,0.0,shot-only,0.0,0.9988038539368046,1.0238585778376783,1.0017989980074151,0.0026666666666666666,0.0075,0.0007022687709792916,0.0007148973802263245
64,5,22641,2000,127.0,0.0,shot-only,0.0,0.990787659534033,1.000266287876747,0.9915876551482842,0.0021,0.009,0.000638709148806136,0.0006427358887562664
64,7,22641,2000,127.0,0.0,shot-only,0.0,1.0076700428254564,1.0266762089184394,1.004640714243279,0.002642857142857143,0.016,0.0006775805118845914,0.0006663804209109668
64,9,22641,2000,127.0,0.0,shot-only,0.0,0.9965011101993377,1.0400709388623133,0.9972261736065197,0.0024444444444444444,0.0195,0.0007407285994443421,0.0007405640928083098
64,11,22641,2000,127.0,0.0,shot-only,0.0,0.9908366252951504,1.0258156701508063,0.9988254884547865,0.002909090909090909,0.028,0.0009491823933970057,0.0009673430405158359
64,3,22641,2000,127.0,0.2,clustered,1.0,3.76775771304647,3.9237639678216776,3.74479998160678,0.3898333333333333,0.772,0.006747076565266991,0.0017755379207135347
64,5,22641,2000,127.0,0.2,clustered,1.0,2.866677706461734,3.884805696136185,3.2784241379626757,0.3057,0.8385,0.004429773781738677,0.001596166621764236
64,7,22641,2000,127.0,0.2,clustered,1.0,2.953044113988745,3.714052409495794,3.1355182215727226,0.2790714285714286,0.859,0.004575771960646738,0.0016542962120688809
64,9,22641,2000,127.0,0.2,clustered,1.0,2.0394599844488086,3.7733839951991848,2.8519400647649062,0.21594444444444444,0.8595,0.00446150255794628,0.001838915184499087
64,11,22641,2000,127.0,0.2,clustered,1.0,2.0503205058126133,3.7166565849351283,2.6514660632784577,0.18163636363636362,0.868,0.00446129673696301,0.0024014146915341665
