k,mode,mock_id,n_galaxies,lrt_lambda,lrt_reject,lrt_correct,snr_a,snr_b,a_true,b_true,a_hat,b_hat,tp,fp
1,combined,2,234805,92.28704088278937,True,True,"[24.50257265524716, 0.836948130771268, 0.11185733013662236, 0.30378942680082777]","[7.474417888904051, 1.9869194152766447, 4.973842757221656, 3.535032018260302]","[-0.15352977646089802, 0.0, 0.0, 0.0]","[-0.08138348070267823, 0.0, 0.0, 0.0]","[-0.14893653230217843, -0.005011803015619314, 0.0006866536758200252, -0.0018239469613228392]","[-0.05675725557514843, -0.01499350683947102, -0.03894141602674835, -0.02638270891147754]",1.0,0.6666666666666666
1,combined,3,242009,40.565875025104106,True,True,"[6.7247020827451225, 1.0577564258022367, 0.19285729577193111, 3.5097849069140703]","[5.616405986600017, 1.3018783189573166, 2.218463013222711, 0.854463665270946]","[0.04418021459930365, 0.0, 0.0, 0.0]","[-0.028170827659685118, 0.0, 0.0, 0.0]","[0.039131779374415074, 0.006073356660969836, 0.0011325909256756997, -0.02023984698080941]","[-0.043152824931941294, 0.010435659885756203, -0.017946458863272303, -0.006799895992597678]",1.0,0.6666666666666666
1,combined,4,248014,11.242457062831818,True,True,"[7.735806801333712, 0.17790358064114806, 1.7347739460926357, 3.7483889341228154]","[1.3092928775907018, 1.2984663988842835, 2.514833668541985, 1.5519083973855121]","[-0.04956708246551158, 0.0, 0.0, 0.0]","[-0.012496887280783815, 0.0, 0.0, 0.0]","[-0.0475199532349639, -0.0010753459513679962, 0.010706401035439343, -0.02273361494651337]","[-0.010642820771353015, -0.010559631418903408, 0.021352445047608692, -0.012644444322214033]",1.0,0.6666666666666666
2,additive,0,243704,24.836647750344127,True,False,"[7.627489609055669, 31.84563358964774, 0.8654418056817946, 3.5342517158188853]","[1.6360423858587836, 4.034997107732087, 1.706427101137481, 1.6637269337581286]","[-0.05395026835070856, 0.1805512652231566, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[-0.04369361244386662, 0.17985382506896103, 0.0050075359001368535, 0.019993047455806927]","[-0.013632267141816846, 0.03066828328821433, -0.01450252523815028, 0.012951768589798358]",1.0,0.5
2,additive,1,241584,35.84048454527874,True,False,"[14.9660103861181, 19.80892106938934, 0.18937053217585165, 4.36142691769392]","[1.3090370434469207, 2.195671730424024, 2.1521816414605492, 4.662791799826964]","[-0.09467123636480955, 0.1393706251460694, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[-0.10376519120389378, 0.13518482999421877, -0.0013165449658361478, -0.029858272408683648]","[-0.01059193963966084, 0.017673650787572045, 0.018883522037496797, -0.03733286983547114]",1.0,0.5
2,additive,2,228669,20.015128484423258,True,False,"[6.967698171333384, 11.248841923781205, 5.373130657743398, 3.54671770949326]","[2.014722269424076, 1.5851515140911865, 0.17679487190757576, 3.535305556470738]","[-0.04616091669567478, -0.07052086966132029, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[-0.0433330051365069, -0.06891967006446029, 0.03374742400364658, 0.021787434818687158]","[0.016669059361301426, 0.011947384613610269, 0.001325789710070502, 0.027575514220612524]",1.0,1.0
2,additive,3,253076,135.16992615283198,True,False,"[27.314643846916432, 17.958120440099506, 6.22341965854798, 5.123519900577497]","[2.9610560427551365, 0.47821258284712537, 10.727606876857049, 4.089993008264203]","[0.1939628256039105, 0.12390768035248194, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.18678969342654875, 0.12117270793674055, -0.04295037026639234, -0.03472129942335403]","[0.02555543980852107, -0.0037971760668783798, -0.07683132833813097, -0.03348750823320528]",1.0,1.0
2,additive,4,242724,82.57123161986237,True,False,"[8.865962593725142, 23.624482929070698, 3.3391429373028045, 5.403935661659689]","[2.8198207005019644, 0.10364311256303674, 0.5838534960534115, 8.604938517197265]","[-0.06667052058737304, -0.18130936749134813, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[-0.06886709360015178, -0.18056821194867598, 0.026058601022158154, 0.0414428384539508]","[-0.023260154725886977, -0.0008264378470890586, -0.004608296622177716, 0.06613044428109516]",1.0,1.0
2,multiplicative,0,243364,540.7487378994156,True,True,"[1.733018160773852, 0.9487973349758255, 1.4564018869244237, 3.884450249666734]","[5.692858650087386, 25.143646054998953, 1.8709978953043187, 2.2300790975063696]","[0.0, 0.0, 0.0, 0.0]","[-0.05395026835070856, 0.1805512652231566, 0.0, 0.0]","[0.010154215741579896, 0.005480878641692227, 0.008619347282965751, 0.022475948479508748]","[-0.044911858009823405, 0.16773227393980092, -0.015218381879690582, 0.016794849248884247]",1.0,0.5
2,multiplicative,1,242462,457.8048078765805,True,True,"[1.1152991544719582, 0.811885916842215, 0.6725251257209875, 4.871162710940578]","[12.685017634017065, 17.018800468982004, 3.2794435265613506, 4.9320030607928675]","[0.0, 0.0, 0.0, 0.0]","[-0.09467123636480955, 0.1393706251460694, 0.0, 0.0]","[-0.007855384172391499, -0.005628498488508275, 0.004749656689378656, -0.033876545759805435]","[-0.09227190274237486, 0.12536585286511587, 0.02670653387941349, -0.03811008382081212]",1.0,1.0
